Marca,Modello,Versione,Prezzo,Lunghezza,Larghezza,Altezza,Posti,Bagagliaio,Garanzia,Motorizzazione,Cilindrata cm³,Cilindri,Potenza CV/KW,Potenza termico CV/KW,Potenza omologata CV/KW,Coppia Nm,Velocità max km/h,Consumo medio l/100 km,Consumo medio kWh/100 km,Emissioni,Peso kg,Autonomia km,Capacità batteria kWh
BAW,BAW1,13.7 kWh Fun 2 posti,14.900,316,150,158,2/4,-,3/100.000,elettrica,nd,nd,27 CV/20 KW,nd,18 CV/13 KW,nd,90,nd,0 kWh/100 km,0 G/KM,740,170,13
BAW,BAW1,13.7 kWh Young 4 posti,15.900,316,150,158,2/4,-,3/100.000,elettrica,nd,nd,27 CV/20 KW,nd,18 CV/13 KW,nd,90,nd,0 kWh/100 km,0 G/KM,740,170,13
BAW,BAW1,17.28 kWh City 4 posti,17.300,316,150,158,2/4,-,3/100.000,elettrica,nd,nd,27 CV/20 KW,nd,18 CV/13 KW,nd,90,nd,0 kWh/100 km,0 G/KM,nd,220,17
BYD,Atto 2,45 kWh Active,29.990,431,183,168,5,400/1340,6/150.000,elettrica,nd,nd,177 CV/130 KW,nd,nd,290,160,nd,n.d. kWh/100 km,0 G/KM,1.905,312,45
BYD,Atto 2,45 kWh Boost,31.990,431,183,168,5,400/1340,6/150.000,elettrica,nd,nd,177 CV/130 KW,nd,nd,290,160,nd,n.d. kWh/100 km,0 G/KM,1.905,312,45
BYD,Atto 3,Comfort,38.790,446,188,162,5,440/1338,6/150.000,elettrica,nd,nd,204 CV/150 KW,nd,88 CV/65 KW,310,160,nd,"15,6 kWh/100 km",0 G/KM,1.750,420,60
BYD,Atto 3,Design,40.790,446,188,162,5,440/1338,6/150.000,elettrica,nd,nd,204 CV/150 KW,nd,88 CV/65 KW,310,160,nd,"15,6 kWh/100 km",0 G/KM,1.750,420,60
BYD,Dolphin,60.4 kWh Comfort,33.790,429,177,157,5,345/1310,6/150.000,elettrica,nd,nd,204 CV/150 KW,nd,88 CV/65 KW,310,160,nd,"15,9 kWh/100 km",0 G/KM,1.658,427,60
BYD,Dolphin,60.4 kWh Design,35.790,429,177,157,5,345/1310,6/150.000,elettrica,nd,nd,204 CV/150 KW,nd,88 CV/65 KW,310,160,nd,"15,9 kWh/100 km",0 G/KM,1.658,427,60
BYD,Han,Executive,70.940,500,191,150,5,410,6/150.000,elettrica,nd,nd,517 CV/380 KW,nd,75 CV/55 KW,700,180,nd,"18,5 kWh/100 km",0 G/KM,2.250,521,85
BYD,Seal,Design,43.600,480,188,146,5,ant. 53post. 400,6/150.000,elettrica,nd,nd,313 CV/230 KW,nd,95 CV/70 KW,360,180,nd,"16,6 kWh/100 km",0 G/KM,2.055,570,82
BYD,Seal,Excellence AWD,49.390,480,188,146,5,ant. 53post. 400,6/150.000,elettrica,nd,nd,530 CV/390 KW,nd,197 CV/145 KW,670,180,nd,"18,2 kWh/100 km",0 G/KM,2.185,520,82
BYD,Seal U,1.5 DM-i Boost,39.800,479,189,167,5,425-552/1440,6/150.000,plug-in benzina PHEV,1.498,4,218 CV/160 KW,98 CV/72 KW,nd,300,170,nd,nd,21 G/KM,1.940,80,nd
BYD,Seal U,1.5 T DM-i Design,47.800,479,189,167,5,425-552/1440,6/150.000,plug-in benzina PHEV,1.497,4,324 CV/238 KW,131 CV/96 KW,nd,550,180,nd,nd,26 G/KM,2.100,70,nd
BYD,Seal U,71.8 kWh Comfort,42.890,479,189,167,5,425-552/1440,6/150.000,elettrica,nd,nd,218 CV/160 KW,nd,88 CV/65 KW,310,175,nd,"19,9 kWh/100 km",0 G/KM,1.945-2.072,420,71
BYD,Seal U,87 kWh Design,45.890,479,189,167,5,425-552/1440,6/150.000,elettrica,nd,nd,218 CV/160 KW,nd,88 CV/65 KW,310,175,nd,"19,9 kWh/100 km",0 G/KM,1.945-2.072,420,71
BYD,Sealion 7,82.5 kWh Comfort,44.175,483,193,162,5,ant. 58post. 520/1789,6/150.000,elettrica,nd,nd,313 CV/230 KW,nd,95 CV/70 KW,380,215,nd,"19,9 kWh/100 km",0 G/KM,2.225,482,82
BYD,Sealion 7,91.3 kWh Excellence AWD,57.390,483,193,162,5,ant. 58post. 520/1789,6/150.000,elettrica,nd,nd,530 CV/390 KW,nd,197 CV/145 KW,690,215,nd,"21,9 kWh/100 km",0 G/KM,2.435,502,91
BYD,Tang,108 kWh Flagship,72.950,497,196,175,7,192/1655,6/150.000,elettrica,nd,nd,517 CV/380 KW,nd,nd,700,190,nd,24 kWh/100 km,0 G/KM,2.630,530,108
Birba,Birba,13.9 kWh Classic,12.900,298,149,164,2,-,5/100.000,elettrica,nd,nd,30 CV/22 KW,nd,19 CV/14 KW,nd,90,nd,"14,2 kWh/100 km",0 G/KM,523,182,13
Birba,Birba,13.9 kWh Ego,14.500,298,149,164,2,-,5/100.000,elettrica,nd,nd,30 CV/22 KW,nd,19 CV/14 KW,nd,90,nd,"14,2 kWh/100 km",0 G/KM,523,182,13
Birba,Birba,13.9 kWh Sport,13.500,298,149,164,2,-,5/100.000,elettrica,nd,nd,30 CV/22 KW,nd,19 CV/14 KW,nd,90,nd,"14,2 kWh/100 km",0 G/KM,523,182,13
Cirelli,Motor Company 1,1.5 Cross,23.800,461,182,174,7,550/1564,2/illimitati,ibrida benzina MHEV,1.498,4,110 CV/81 KW,nd,nd,155,nd,"7,2 l/100 Km",nd,181 G/KM,1.475,nd,nd
Cirelli,Motor Company 1,1.5 Cross Gpl,25.800,461,182,174,7,550/1564,2/illimitati,Gpl,1.498,4,110 CV/81 KW,nd,nd,155,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
Cirelli,Motor Company 1,1.5 Plus,18.800,461,182,174,7,550/1564,2/illimitati,ibrida benzina MHEV,1.498,4,110 CV/81 KW,nd,nd,155,nd,"7,2 l/100 Km",nd,181 G/KM,1.475,nd,nd
Cirelli,Motor Company 1,1.5 Plus Gpl,20.800,461,182,174,7,550/1564,2/illimitati,Gpl,1.498,4,110 CV/81 KW,nd,nd,155,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
Cirelli,Motor Company 1,1.5 Premium,19.800,461,182,174,7,550/1564,2/illimitati,ibrida benzina MHEV,1.498,4,110 CV/81 KW,nd,nd,155,nd,"7,2 l/100 Km",nd,181 G/KM,1.475,nd,nd
Cirelli,Motor Company 1,1.5 Premium Gpl,21.800,461,182,174,7,550/1564,2/illimitati,Gpl,1.498,4,110 CV/81 KW,nd,nd,155,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
Cirelli,Motor Company 2,1.5 Cross Gpl,24.800,439,185,165,5,340/650,2/illimitati,Gpl,1.498,4,106 CV/78 KW,nd,nd,142,nd,7 l/100 Km,nd,188 G/KM,1.590,nd,nd
Cirelli,Motor Company 2,1.5 Plus Gpl,22.800,439,185,165,5,340/650,2/illimitati,Gpl,1.498,4,106 CV/78 KW,nd,nd,142,nd,7 l/100 Km,nd,188 G/KM,1.590,nd,nd
Cirelli,Motor Company 2,1.5 Premium Gpl,23.800,439,185,165,5,340/650,2/illimitati,Gpl,1.498,4,106 CV/78 KW,nd,nd,142,nd,7 l/100 Km,nd,188 G/KM,1.590,nd,nd
Cirelli,Motor Company 2,BEV,33.800,439,185,165,5,340/650,2/illimitati,elettrica,nd,nd,0 CV/0 KW,nd,nd,0,nd,nd,0 kWh/100 km,0 G/KM,nd,nd,nd
Cirelli,Motor Company 2 Plus,1.5,20.800,438,185,165,5,385/n.d.,2/illimitati,benzina,1.498,4,106 CV/78 KW,nd,nd,142,nd,"7,2 l/100 Km",nd,171 G/KM,1.455,nd,nd
Cirelli,Motor Company 2 Plus,1.5 CVT,22.800,438,185,165,5,385/n.d.,2/illimitati,benzina,1.498,4,106 CV/78 KW,nd,nd,142,nd,"7,2 l/100 Km",nd,171 G/KM,1.455,nd,nd
Cirelli,Motor Company 2 Plus,1.5 Gpl,22.800,438,185,165,5,385/n.d.,2/illimitati,Gpl,1.498,4,106 CV/78 KW,nd,nd,142,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
Cirelli,Motor Company 2 Plus,1.5 Gpl CVT,24.800,438,185,165,5,385/n.d.,2/illimitati,Gpl,1.498,4,106 CV/78 KW,nd,nd,142,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
Cirelli,Motor Company 3,1.5,25.800,467,186,174,5,570/n.d.,2/illimitati,benzina,1.498,4,133 CV/98 KW,nd,nd,212,nd,"9,3 l/100 Km",nd,210 G/KM,1.570,nd,nd
Cirelli,Motor Company 3,1.5 Gpl,27.800,467,186,174,5,570/n.d.,2/illimitati,Gpl,1.498,4,133 CV/98 KW,nd,nd,212,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
